id,issue_type,latitude,longitude,ward,date,severity,status,resolution_days,rainfall_mm,traffic_density,population_density,affected_population,trust_score,priority_score,verification_count,economic_impact_inr
ISS-00001,pothole,12.956584,77.518628,Vijayanagar,2025-03-21,low,verified,,0,100,18000,685,78,42,23,17548
ISS-00002,streetlight,12.910985,77.591563,BTM Layout,2024-04-15,high,verified,,0,100,17000,307,46,56,11,15325
ISS-00003,road_damage,12.90817,77.580351,Bannerghatta,2023-08-29,medium,reported,,33.6,46.6,7000,110,79,80,5,4508
ISS-00004,road_damage,13.011252,77.563339,Malleswaram,2024-10-20,critical,reported,,0,100,22000,1347,50,31,10,70595
ISS-00005,road_damage,12.925215,77.651799,HSR Layout,2025-02-25,low,verified,,0,82.4,14000,380,73,42,30,16966
ISS-00006,open_manhole,12.924872,77.605202,Koramangala,2024-04-29,low,verified,,0,100,18000,541,87,43,7,7876
ISS-00007,streetlight,12.821868,77.675073,Electronic City,2025-03-25,low,reported,,0,42.4,9000,256,48,55,8,14779
ISS-00008,water_leakage,12.944803,77.582147,Jayanagar,2025-05-03,high,reported,,0,92.2,20000,624,75,81,28,32688
ISS-00009,open_manhole,12.967038,77.685653,Marathahalli,2025-04-09,high,reported,,0,93.5,16000,1001,85,77,16,24601
ISS-00010,streetlight,13.093695,77.613717,Yelahanka,2024-01-25,medium,resolved,30,0,55.0,8000,348,72,29,28,10382
ISS-00011,water_leakage,13.034038,77.615549,Hebbal,2023-07-20,critical,verified,,0,66.0,11000,133,77,67,8,3403
ISS-00012,road_damage,12.955961,77.524697,Vijayanagar,2024-05-16,medium,reported,,0,95.6,18000,791,56,20,21,9353
ISS-00013,road_damage,12.927585,77.592836,Jayanagar,2025-04-04,medium,reported,,0,100,20000,478,41,40,24,16974
ISS-00014,road_damage,12.976935,77.57468,Rajajinagar,2023-12-20,medium,in_progress,,0,86.6,19000,336,53,63,10,5820
ISS-00015,pothole,12.901151,77.586882,JP Nagar,2023-09-04,medium,reported,,0,91.0,16000,133,80,84,6,7444
ISS-00016,flooding,12.905977,77.581304,JP Nagar,2024-02-06,medium,in_progress,,0,85.8,16000,733,68,65,6,14904
ISS-00017,flooding,12.99551,77.576021,Rajajinagar,2024-11-25,high,in_progress,,39.0,100,19000,1031,84,88,17,43717
ISS-00018,water_leakage,13.018765,77.593678,Hebbal,2025-01-15,medium,verified,,0,47.5,11000,312,92,26,20,15170
ISS-00019,construction_hazard,12.933829,77.591102,BTM Layout,2024-05-07,low,in_progress,,0,100,17000,426,92,52,13,13228
ISS-00020,construction_hazard,13.002602,77.546695,Rajajinagar,2023-05-24,low,in_progress,,0,100,19000,798,64,78,0,18362
ISS-00021,streetlight,13.005667,77.543793,Rajajinagar,2024-07-14,critical,resolved,3,55.2,92.4,19000,344,85,49,15,16892
ISS-00022,open_manhole,12.972697,77.660139,Indiranagar,2023-04-01,low,reported,,0,74.7,15000,128,53,36,5,5815
ISS-00023,road_damage,12.996357,77.562932,Rajajinagar,2025-04-07,medium,in_progress,,0,100,19000,191,60,86,6,5808
ISS-00024,water_leakage,12.997984,77.639693,Indiranagar,2025-02-05,medium,reported,,0,73.7,15000,269,75,64,15,12424
ISS-00025,road_damage,13.11898,77.583096,Yelahanka,2025-01-31,low,verified,,0,51.5,8000,381,41,48,5,12735
ISS-00026,construction_hazard,12.912373,77.592655,JP Nagar,2023-08-31,high,resolved,3,0,73.5,16000,816,43,90,21,13736
ISS-00027,garbage,12.831073,77.681562,Electronic City,2023-09-09,medium,in_progress,,44.4,40.3,9000,102,69,86,28,2420
ISS-00028,water_leakage,12.973795,77.712589,Marathahalli,2023-11-15,medium,reported,,13.3,76.9,16000,235,65,34,29,4395
ISS-00029,flooding,12.974927,77.555087,Rajajinagar,2025-01-22,medium,reported,,0,94.4,19000,495,82,36,24,28647
ISS-00030,flooding,12.872971,77.59152,Bannerghatta,2024-06-06,medium,in_progress,,52.0,47.3,7000,48,83,47,17,903
ISS-00031,road_damage,12.92487,77.599611,BTM Layout,2025-05-02,low,reported,,0,100,17000,571,58,38,28,26974
ISS-00032,garbage,12.922469,77.630872,HSR Layout,2024-09-22,high,verified,,72.3,69.7,14000,930,70,76,5,14827
ISS-00033,flooding,12.992082,77.549315,Rajajinagar,2023-02-18,medium,reported,,0,100,19000,791,42,47,18,24354
ISS-00034,construction_hazard,12.966911,77.734913,Whitefield,2025-04-17,medium,resolved,30,0,52.7,12000,368,83,64,17,11643
ISS-00035,flooding,12.893763,77.582903,JP Nagar,2024-04-24,high,resolved,10,0,84.5,16000,433,41,94,11,20103
ISS-00036,water_leakage,13.020955,77.609983,Hebbal,2023-08-19,medium,reported,,0,68.8,11000,177,51,95,4,2551
ISS-00037,garbage,12.995803,77.558059,Malleswaram,2023-01-03,medium,resolved,39,0,100,22000,212,77,30,30,5577
ISS-00038,streetlight,12.967109,77.697865,Marathahalli,2023-10-12,medium,verified,,0,82.9,16000,353,83,52,5,4640
ISS-00039,open_manhole,12.894761,77.600556,JP Nagar,2023-06-09,medium,verified,,21.7,83.0,16000,634,92,61,26,22417
ISS-00040,streetlight,13.104198,77.594136,Yelahanka,2023-10-22,medium,verified,,66.5,51.6,8000,274,76,44,7,14260
ISS-00041,garbage,12.971976,77.630208,Indiranagar,2025-03-29,low,verified,,0,68.4,15000,548,54,35,8,19609
ISS-00042,flooding,12.976872,77.553563,Rajajinagar,2024-05-27,medium,resolved,57,0,100,19000,287,82,87,27,6268
ISS-00043,flooding,13.028138,77.57736,Hebbal,2023-08-13,medium,resolved,12,23.5,49.0,11000,524,42,60,1,30917
ISS-00044,construction_hazard,12.944471,77.712117,Marathahalli,2024-06-08,medium,reported,,42.2,82.5,16000,567,84,51,13,11789
ISS-00045,water_leakage,12.894165,77.615194,Bannerghatta,2023-08-22,medium,in_progress,,0,26.3,7000,289,70,77,6,6532
ISS-00046,water_leakage,13.020042,77.581601,Malleswaram,2023-02-10,high,verified,,0,100,22000,738,79,74,10,23242
ISS-00047,open_manhole,12.926977,77.63224,Koramangala,2023-06-22,medium,resolved,53,14.5,82.9,18000,339,49,76,17,14058
ISS-00048,water_leakage,13.049643,77.602505,Hebbal,2023-04-05,medium,in_progress,,0,57.2,11000,355,44,98,28,19107
ISS-00049,water_leakage,12.952942,77.759652,Whitefield,2024-01-16,medium,in_progress,,0,76.8,12000,237,62,90,30,5136
ISS-00050,water_leakage,12.84895,77.687272,Electronic City,2023-04-19,medium,verified,,0,60.7,9000,214,56,32,23,12250
ISS-00051,streetlight,12.9729,77.624645,Indiranagar,2025-02-24,critical,resolved,3,0,85.1,15000,1050,69,36,26,17242
ISS-00052,road_damage,12.877766,77.598661,Bannerghatta,2025-03-17,high,in_progress,,0,52.5,7000,103,43,81,0,1947
ISS-00053,pothole,12.951135,77.757193,Whitefield,2024-10-04,medium,reported,,66.4,50.3,12000,571,44,77,15,31654
ISS-00054,garbage,12.954688,77.541277,Vijayanagar,2023-08-05,medium,verified,,33.6,96.1,18000,713,50,93,5,39734
ISS-00055,flooding,12.821158,77.690915,Electronic City,2023-04-06,medium,resolved,21,0,39.4,9000,217,72,69,20,7212
ISS-00056,garbage,12.939634,77.707301,Marathahalli,2024-06-20,high,in_progress,,29.7,78.7,16000,577,89,63,30,28426
ISS-00057,construction_hazard,12.972869,77.531403,Vijayanagar,2024-09-03,medium,verified,,29.9,80.1,18000,681,41,84,0,32797
ISS-00058,road_damage,12.925462,77.574556,JP Nagar,2023-09-28,medium,resolved,37,0,88.3,16000,249,56,34,4,5381
ISS-00059,open_manhole,12.922827,77.608671,BTM Layout,2024-10-27,low,in_progress,,0,87.6,17000,319,51,54,30,6700
ISS-00060,streetlight,13.002149,77.571578,Rajajinagar,2023-08-17,high,in_progress,,0,100,19000,657,57,73,3,25876
ISS-00061,open_manhole,12.953142,77.638699,Koramangala,2023-09-26,low,verified,,63.3,89.2,18000,769,73,83,7,39956
ISS-00062,pothole,12.958506,77.641344,Indiranagar,2025-02-03,low,in_progress,,0,88.2,15000,206,72,63,11,8469
ISS-00063,road_damage,13.009249,77.555436,Rajajinagar,2025-05-16,low,verified,,0,100,19000,559,65,72,26,25068
ISS-00064,garbage,12.91902,77.584577,Jayanagar,2023-07-10,low,verified,,0,90.1,20000,352,54,59,5,18544
ISS-00065,streetlight,12.838799,77.668205,Electronic City,2024-03-30,medium,resolved,52,0,50.1,9000,244,95,79,19,7708
ISS-00066,garbage,13.019167,77.600142,Hebbal,2025-05-21,critical,resolved,2,0,60.5,11000,294,79,39,22,17601
ISS-00067,open_manhole,12.993023,77.574704,Malleswaram,2024-06-14,high,verified,,22.0,100,22000,1028,58,67,12,37972
ISS-00068,road_damage,13.095801,77.591601,Yelahanka,2023-11-11,medium,reported,,0,39.5,8000,368,81,28,5,12070
ISS-00069,road_damage,12.917957,77.643685,Koramangala,2025-03-12,medium,reported,,0,100,18000,495,54,53,15,11535
ISS-00070,flooding,12.903474,77.600343,BTM Layout,2024-06-01,medium,verified,,19.0,94.0,17000,796,88,20,23,47494
ISS-00071,garbage,12.896705,77.634992,HSR Layout,2024-03-11,medium,reported,,0,66.9,14000,206,68,37,19,8018
ISS-00072,pothole,12.90897,77.592688,Bannerghatta,2023-11-07,medium,verified,,35.8,49.9,7000,280,74,86,13,15967
ISS-00073,streetlight,12.906114,77.566639,JP Nagar,2024-09-26,medium,resolved,59,0,88.9,16000,531,58,34,5,5447
ISS-00074,streetlight,12.826634,77.668518,Electronic City,2023-01-25,medium,reported,,0,41.3,9000,308,76,95,21,14019
ISS-00075,garbage,12.896272,77.634419,HSR Layout,2025-05-28,low,in_progress,,0,72.2,14000,408,82,88,16,13796
ISS-00076,flooding,13.021651,77.611039,Hebbal,2024-06-05,medium,verified,,0,68.4,11000,64,52,88,0,2089
ISS-00077,construction_hazard,12.944088,77.593816,Jayanagar,2023-02-24,medium,verified,,0,100,20000,951,53,78,29,20073
ISS-00078,streetlight,12.916744,77.626962,Koramangala,2024-11-25,medium,in_progress,,75.1,93.6,18000,661,87,43,25,24248
ISS-00079,construction_hazard,12.897091,77.595211,Bannerghatta,2025-05-30,low,verified,,0,42.7,7000,247,95,86,11,11234
ISS-00080,water_leakage,12.926472,77.650981,HSR Layout,2023-10-16,medium,verified,,0,82.5,14000,89,91,44,30,3755
ISS-00081,flooding,13.038331,77.604323,Hebbal,2024-01-11,low,in_progress,,0,49.8,11000,62,62,76,15,2754
